Retail Client;Article Code;Article Description;Date;Size of Packing Unit;Prognosis (Packing Units);Realised Orders (Packing Units)
EDEKA EK (HESSENRING);20.08.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;124
EDEKA EK (HESSENRING);20.08.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;4
EDEKA EK (HESSENRING);20.08.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;112;72
EDEKA EK (HESSENRING);20.08.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;11;
EDEKA EK (HESSENRING);21.08.2020;213899;TRT GRNG 5KG FK414 EP 8NL;5;80;
EDEKA EK (HESSENRING);21.08.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;264;320
EDEKA EK (HESSENRING);21.08.2020;800869;VVPAP MX 3KLEDGG16x500FP3ST KKG618EP ED8;16;208;260
EDEKA EK (HESSENRING);21.08.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;48;28
EDEKA EK (HESSENRING);21.08.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;264;208
EDEKA EK (HESSENRING);21.08.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;4
EDEKA EK (HESSENRING);22.08.2020;213899;TRT GRNG 5KG FK414 EP 8NL;5;80;
EDEKA EK (HESSENRING);22.08.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;40
EDEKA EK (HESSENRING);22.08.2020;800869;VVPAP MX 3KLEDGG16x500FP3ST KKG618EP ED8;16;104;208
EDEKA EK (HESSENRING);22.08.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;112;64
EDEKA EK (HESSENRING);22.08.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;40
EDEKA EK (HESSENRING);22.08.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;22;20
EDEKA EK (HESSENRING);24.08.2020;213899;TRT GRNG 5KG FK414 EP 8NL;5;20;
EDEKA EK (HESSENRING);24.08.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;120
EDEKA EK (HESSENRING);24.08.2020;800869;VVPAP MX 3KLEDGG16x500FP3ST KKG618EP ED8;16;104;128
EDEKA EK (HESSENRING);24.08.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;
EDEKA EK (HESSENRING);24.08.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;52
EDEKA EK (HESSENRING);24.08.2020;862651;TCH PRUEDPL 11x250 BKR02 KKG415 EP ED8NL;11;;1.120
EDEKA EK (HESSENRING);24.08.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;16
EDEKA EK (HESSENRING);25.08.2020;213899;TRT GRNG 5KG FK414 EP 8NL;5;140;
EDEKA EK (HESSENRING);25.08.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;100
EDEKA EK (HESSENRING);25.08.2020;800869;VVPAP MX 3KLEDGG16x500FP3ST KKG618EP ED8;16;156;156
EDEKA EK (HESSENRING);25.08.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;48;40
EDEKA EK (HESSENRING);25.08.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;72
EDEKA EK (HESSENRING);25.08.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;20
EDEKA EK (HESSENRING);26.08.2020;213899;TRT GRNG 5KG FK414 EP 8NL;5;80;
EDEKA EK (HESSENRING);26.08.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;264;212
EDEKA EK (HESSENRING);26.08.2020;800869;VVPAP MX 3KLEDGG16x500FP3ST KKG618EP ED8;16;312;220
EDEKA EK (HESSENRING);26.08.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;20
EDEKA EK (HESSENRING);26.08.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;112;108
EDEKA EK (HESSENRING);26.08.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;11;
EDEKA EK (HESSENRING);27.08.2020;213899;TRT GRNG 5KG FK414 EP 8NL;5;20;
EDEKA EK (HESSENRING);27.08.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;160
EDEKA EK (HESSENRING);27.08.2020;800869;VVPAP MX 3KLEDGG16x500FP3ST KKG618EP ED8;16;156;156
EDEKA EK (HESSENRING);27.08.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;16
EDEKA EK (HESSENRING);27.08.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;112;80
EDEKA EK (HESSENRING);27.08.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;11;8
EDEKA EK (HESSENRING);28.08.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;264;320
EDEKA EK (HESSENRING);28.08.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;48;20
EDEKA EK (HESSENRING);28.08.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;264;212
EDEKA EK (HESSENRING);28.08.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;80;180
EDEKA EK (HESSENRING);28.08.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;8
EDEKA EK (HESSENRING);29.08.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;40
EDEKA EK (HESSENRING);29.08.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;112;76
EDEKA EK (HESSENRING);29.08.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;32
EDEKA EK (HESSENRING);29.08.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;40;12
EDEKA EK (HESSENRING);29.08.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;22;24
EDEKA EK (HESSENRING);31.08.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;164
EDEKA EK (HESSENRING);31.08.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;16
EDEKA EK (HESSENRING);31.08.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;84
EDEKA EK (HESSENRING);31.08.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;20;124
EDEKA EK (HESSENRING);31.08.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;8
EDEKA EK (HESSENRING);01.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;64
EDEKA EK (HESSENRING);01.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;48;4
EDEKA EK (HESSENRING);01.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;52
EDEKA EK (HESSENRING);01.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;140;128
EDEKA EK (HESSENRING);01.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;11;
EDEKA EK (HESSENRING);02.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;264;116
EDEKA EK (HESSENRING);02.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;
EDEKA EK (HESSENRING);02.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;112
EDEKA EK (HESSENRING);02.09.2020;862651;TCH PRUEDPL 11x250 BKR02 KKG415 EP ED8NL;11;;112
EDEKA EK (HESSENRING);02.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;40;16
EDEKA EK (HESSENRING);02.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;11;2
EDEKA EK (HESSENRING);03.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;88
EDEKA EK (HESSENRING);03.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;20
EDEKA EK (HESSENRING);03.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;132;72
EDEKA EK (HESSENRING);03.09.2020;862651;TCH PRUEDPL 11x250 BKR02 KKG415 EP ED8NL;11;;440
EDEKA EK (HESSENRING);03.09.2020;887562;VVTRT GREDPL 6KG ZTK KKG613 EP ED 8NL;6;;72
EDEKA EK (HESSENRING);03.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;20;
EDEKA EK (HESSENRING);03.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;11;
EDEKA EK (HESSENRING);04.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;264;308
EDEKA EK (HESSENRING);04.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;48;20
EDEKA EK (HESSENRING);04.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;264;168
EDEKA EK (HESSENRING);04.09.2020;862651;TCH PRUEDPL 11x250 BKR02 KKG415 EP ED8NL;11;;336
EDEKA EK (HESSENRING);04.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;80;
EDEKA EK (HESSENRING);04.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;8
EDEKA EK (HESSENRING);05.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;40
EDEKA EK (HESSENRING);05.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;112;60
EDEKA EK (HESSENRING);05.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;36
EDEKA EK (HESSENRING);05.09.2020;903818;VVTRCH FIJNEDPLCHIC12x150SKFPKKG410EPED8;12;;32
EDEKA EK (HESSENRING);05.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;40;
EDEKA EK (HESSENRING);05.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;22;19
EDEKA EK (HESSENRING);07.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;128
EDEKA EK (HESSENRING);07.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;4
EDEKA EK (HESSENRING);07.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;72
EDEKA EK (HESSENRING);07.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;120;
EDEKA EK (HESSENRING);07.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;
EDEKA EK (HESSENRING);08.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;88
EDEKA EK (HESSENRING);08.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;48;12
EDEKA EK (HESSENRING);08.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;56
EDEKA EK (HESSENRING);08.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;120;
EDEKA EK (HESSENRING);08.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;11;
EDEKA EK (HESSENRING);09.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;264;176
EDEKA EK (HESSENRING);09.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;24
EDEKA EK (HESSENRING);09.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;92
EDEKA EK (HESSENRING);09.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;40;
EDEKA EK (HESSENRING);09.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;11;8
EDEKA EK (HESSENRING);10.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;120
EDEKA EK (HESSENRING);10.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;4
EDEKA EK (HESSENRING);10.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;132;96
EDEKA EK (HESSENRING);10.09.2020;862651;TCH PRUEDPL 11x250 BKR02 KKG415 EP ED8NL;11;;280
EDEKA EK (HESSENRING);10.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;20;
EDEKA EK (HESSENRING);10.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;11;
EDEKA EK (HESSENRING);11.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;264;176
EDEKA EK (HESSENRING);11.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;8
EDEKA EK (HESSENRING);11.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;264;216
EDEKA EK (HESSENRING);11.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;80;240
EDEKA EK (HESSENRING);11.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;6
EDEKA EK (HESSENRING);12.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;152
EDEKA EK (HESSENRING);12.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;112;72
EDEKA EK (HESSENRING);12.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;48
EDEKA EK (HESSENRING);12.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;40;25
EDEKA EK (HESSENRING);12.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;22;24
EDEKA EK (HESSENRING);14.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;68
EDEKA EK (HESSENRING);14.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;8
EDEKA EK (HESSENRING);14.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;88
EDEKA EK (HESSENRING);14.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;120;5
EDEKA EK (HESSENRING);14.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;10
EDEKA EK (HESSENRING);15.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;100
EDEKA EK (HESSENRING);15.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;48;24
EDEKA EK (HESSENRING);15.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;48
EDEKA EK (HESSENRING);15.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;120;85
EDEKA EK (HESSENRING);15.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;11;2
EDEKA EK (HESSENRING);16.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;264;216
EDEKA EK (HESSENRING);16.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;24
EDEKA EK (HESSENRING);16.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;184
EDEKA EK (HESSENRING);16.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;40;5
EDEKA EK (HESSENRING);16.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;2
EDEKA EK (HESSENRING);17.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;168;220
EDEKA EK (HESSENRING);17.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;34
EDEKA EK (HESSENRING);17.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;132;132
EDEKA EK (HESSENRING);17.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;40;
EDEKA EK (HESSENRING);17.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;18
EDEKA EK (HESSENRING);19.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;256;316
EDEKA EK (HESSENRING);19.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;96;80
EDEKA EK (HESSENRING);19.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;176;224
EDEKA EK (HESSENRING);19.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;80;
EDEKA EK (HESSENRING);19.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;22;12
EDEKA EK (HESSENRING);21.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;88
EDEKA EK (HESSENRING);21.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;28
EDEKA EK (HESSENRING);21.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;120
EDEKA EK (HESSENRING);21.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;120;
EDEKA EK (HESSENRING);21.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;4
EDEKA EK (HESSENRING);22.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;132
EDEKA EK (HESSENRING);22.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;28
EDEKA EK (HESSENRING);22.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;84
EDEKA EK (HESSENRING);22.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;120;
EDEKA EK (HESSENRING);23.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;264;128
EDEKA EK (HESSENRING);23.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;24
EDEKA EK (HESSENRING);23.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;148
EDEKA EK (HESSENRING);23.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;40;
EDEKA EK (HESSENRING);23.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;7
EDEKA EK (HESSENRING);24.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;112
EDEKA EK (HESSENRING);24.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;8
EDEKA EK (HESSENRING);24.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;132;92
EDEKA EK (HESSENRING);25.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;320
EDEKA EK (HESSENRING);25.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;20;32
EDEKA EK (HESSENRING);25.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;176;220
EDEKA EK (HESSENRING);25.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;;240
EDEKA EK (HESSENRING);25.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;
EDEKA EK (HESSENRING);26.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;48
EDEKA EK (HESSENRING);26.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;72;84
EDEKA EK (HESSENRING);26.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;48;72
EDEKA EK (HESSENRING);26.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;80;120
EDEKA EK (HESSENRING);26.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;18;24
EDEKA EK (HESSENRING);28.09.2020;211370;VVTOM 47-57 MI 6KG DT414M EP 8NL;6;;16
EDEKA EK (HESSENRING);28.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;80
EDEKA EK (HESSENRING);28.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;8
EDEKA EK (HESSENRING);28.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;72;96
EDEKA EK (HESSENRING);28.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;80;120
EDEKA EK (HESSENRING);28.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;
EDEKA EK (HESSENRING);29.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;92
EDEKA EK (HESSENRING);29.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;12
EDEKA EK (HESSENRING);29.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;140
EDEKA EK (HESSENRING);29.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;80;200
EDEKA EK (HESSENRING);29.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;;4
EDEKA EK (HESSENRING);30.09.2020;211029;TOM 57-67 MI 6KG DT414M EP 8NL;6;;12
EDEKA EK (HESSENRING);30.09.2020;211370;VVTOM 47-57 MI 6KG DT414M EP 8NL;6;;4
EDEKA EK (HESSENRING);30.09.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;124
EDEKA EK (HESSENRING);30.09.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;16
EDEKA EK (HESSENRING);30.09.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;80
EDEKA EK (HESSENRING);30.09.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;20;
EDEKA EK (HESSENRING);30.09.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;4
EDEKA EK (HESSENRING);01.10.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;120
EDEKA EK (HESSENRING);01.10.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;20;16
EDEKA EK (HESSENRING);01.10.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;220;88
EDEKA EK (HESSENRING);01.10.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;1.176;620
EDEKA EK (HESSENRING);01.10.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;;2
EDEKA EK (HESSENRING);02.10.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;
EDEKA EK (HESSENRING);03.10.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;220;208
EDEKA EK (HESSENRING);03.10.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;72;72
EDEKA EK (HESSENRING);03.10.2020;822355;R TOMVL72-82EDPL 3,5KG PLU KKG410EPED8NL;3,5;;176
EDEKA EK (HESSENRING);03.10.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;72;4
EDEKA EK (HESSENRING);03.10.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;720;840
EDEKA EK (HESSENRING);03.10.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;18;12
EDEKA EK (HESSENRING);05.10.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;56
EDEKA EK (HESSENRING);05.10.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;
EDEKA EK (HESSENRING);05.10.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;72;120
EDEKA EK (HESSENRING);05.10.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;360;704
EDEKA EK (HESSENRING);05.10.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;8
EDEKA EK (HESSENRING);06.10.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;72
EDEKA EK (HESSENRING);06.10.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;32
EDEKA EK (HESSENRING);06.10.2020;818293;VVTRT GR 5KG D414TB EP ED 8NL;5;80;120
EDEKA EK (HESSENRING);06.10.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;44;96
EDEKA EK (HESSENRING);06.10.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;720;
EDEKA EK (HESSENRING);06.10.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;;8
EDEKA EK (HESSENRING);07.10.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;176;200
EDEKA EK (HESSENRING);07.10.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;24;16
EDEKA EK (HESSENRING);07.10.2020;818293;VVTRT GR 5KG D414TB EP ED 8NL;5;20;140
EDEKA EK (HESSENRING);07.10.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;56
EDEKA EK (HESSENRING);07.10.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;360;528
EDEKA EK (HESSENRING);07.10.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;16
EDEKA EK (HESSENRING);08.10.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;88;120
EDEKA EK (HESSENRING);08.10.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;16;8
EDEKA EK (HESSENRING);08.10.2020;823636;R TOMVL82-102EDPL 3,5KG PLUKKG410EPED8NL;3,5;88;64
EDEKA EK (HESSENRING);08.10.2020;912801;R TRT GRNG 5KG FK414 EP 8NL;5;360;
EDEKA EK (HESSENRING);09.10.2020;211370;VVTOM 47-57 MI 6KG DT414M EP 8NL;6;;16
EDEKA EK (HESSENRING);09.10.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;;220
EDEKA EK (HESSENRING);09.10.2020;802304;R TRCH FIJNPCOL 1,5KG FK310 EP ED 8NL;1,5;;15
EDEKA EK (HESSENRING);09.10.2020;818293;VVTRT GR 5KG D414TB EP ED 8NL;5;;320
EDEKA EK (HESSENRING);09.10.2020;912814;R TRTEDS 10x375 SKO KKG610 EP ED 8NL;10;6;2
EDEKA EK (HESSENRING);10.10.2020;211029;TOM 57-67 MI 6KG DT414M EP 8NL;6;;88
EDEKA EK (HESSENRING);10.10.2020;800808;VVTPR 47-57EDPL ROM3KG GELP KKG410EP ED8;3;220;40
