"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
896896,"vegetables","courgette","courgette green","ES","I","5","courg","2 stuks",3845,8,"VVCOURG325GOGO5X2ST SFP D414TN WP BIO 8E"
896897,"vegetables","courgette","courgette green","ES","I","4","courg","stuks",3845,8,"VVCOURG 325G 4ST SFP D414TN PP BIO 3T 8E"
896898,"vegetables","courgette","courgette green","NL","I","4","courg","stuks",3845,8,"VVCOURG 325GBIO+ 4ST FP KKZ410 PP BIO 8N"
896899,"vegetables","cucumber","cucumber straight","NL","I","12","kk","stuks",3800,8,"VVKK 35-40G12ST SEAL D414TN EPB BIO B8 8"
896900,"vegetables","cucumber","cucumber straight","NL","I","12","kk","stuks",3800,8,"VVKK30-35GREMA12ST SEAL D414TN EP BIOB88"
896901,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",3800,8,"VVKK 35-40G12ST SEAL D414TN EPB BIO B8 8"
896902,"vegetables","courgette","courgette green","NL","I","6","courg","stuks",3845,8,"VVCOURG 325GBIO+ 6ST KKZ416 PP BIO 8NL"
896903,"vegetables","courgette","courgette green","ES","I","6","courg","stuks",3845,8,"VVCOURG 325GBIO+ 6ST KKZ416 PP BIO 8ES"
896904,"vegetables","courgette","courgette green","ES","I","6","courg","stuks",3845,8,"VVCOURG 325G 6ST SFP D414TN PP BIO 3T 8E"
896905,"vegetables","courgette","courgette green","NL","I","16","courg","stuks",3845,8,"VVCOURG 325G 16ST FK5910 WP BIO 8NL"
896906,"vegetables","courgette","courgette green","NL","I","14","courg","stuks",3845,8,"VVCOURG 325G 14ST D414TN WP BIO 8NL"
896907,"vegetables","courgette","courgette green","NL","I","18","courg","stuks",3845,8,"VVCOURG 225G 18ST FK5910 WP BIO 8NL"
896908,"vegetables","courgette","courgette green","ES","I","16","courg","stuks",8340,8,"R COURG 290G 16ST FK5910 WP BIO 8ES"
896909,"vegetables","courgette","courgette green","ES","I","20","courg","stuks",8340,8,"R COURG 225G 20ST FK5910 WP BIO 8ES"
896910,"vegetables","courgette","courgette green","ES","I","14","courg","stuks",3845,8,"VVCOURG 325GBIO+ 14ST KKZ416 BPR BIO 8ES"
896911,"vegetables","courgette","courgette green","NL","I","14","courg","stuks",3845,8,"VVCOURG 325GBIO+ 14ST KKZ416 BPR BIO 8NL"
896912,"vegetables","courgette","courgette green","ES","I","4","courg","stuks",8340,8,"VVR COURG 325GBIO+ 4ST FP KKZ410 BPRBIO8"
896913,"vegetables","courgette","courgette green","NL","I","4","courg","stuks",8340,8,"VVR COURG 325GBIO+ 4ST FP KKZ410 BPRBIO8"
896914,"vegetables","courgette","courgette green","NL","I","6","courg","stuks",3845,8,"VVCOURG 325GBIO+ 6ST KKZ416 BPR BIO 8NL"
896915,"vegetables","courgette","courgette green","ES","I","6","courg","stuks",3845,8,"VVCOURG 325GBIO+ 6ST KKZ416 BPR BIO 8ES"
896916,"vegetables","courgette","courgette green","NL","I","4","courg","stuks",3845,8,"VVCOURG 325G 4ST SFP D414TN EP BIO 8NL"
896917,"vegetables","courgette","courgette green","ES","I","5","courg","2 stuks",3845,8,"VVCOURG 325G 5X2ST SFP D414TN EP BIO 8ES"
896918,"vegetables","courgette","courgette green","ES","I","4","courg","stuks",3845,8,"VVCOURG 325G 4ST SFP D414TN EP BIO 8ES"
896919,"vegetables","courgette","courgette green","ES","I","6","courg","stuks",3845,8,"VVCOURG 325G 6ST SFP D414TN EP BIO 8ES"
896920,"vegetables","courgette","courgette green","ES","I","4","courg","stuks",8340,8,"VVR COURG 325G 4ST FPZE KKZ416 BPR BIO 8"
896921,"vegetables","courgette","courgette green","NL","I","14","courg","stuks",3845,8,"VVCOURG 14ST SFP D414TN EPB BIO B8 8NL"
896922,"vegetables","courgette","courgette green","ES","I","14","courg","stuks",8340,8,"VVR COURG 14ST SFP D414TN EPB BIO B8 8ES"
896923,"vegetables","tomato","tomato round","ES","I","6","tom","kilogram",8520,8,"R TOM 62-82 6KG FK4013 EP BIO 8ES"
896924,"vegetables","tomato","tomato round","NL","I","6","tom","kilogram",3860,8,"TOM 62-82 6KG FK4013 DPA BIO 8NL"
896925,"vegetables","cucumber","cucumber straight","NL","I","14","kk","stuks",3800,8,"VVKK 14ST SEAL D414TN PP BIO 8NL"
896926,"vegetables","cucumber","cucumber straight","ES","I","14","kk","stuks",3800,8,"VVKK 14ST SEAL D414TN PP BIO 8ES"
896927,"vegetables","cucumber","cucumber straight","NL","I","16","kk","stuks",3800,8,"KK 25-30G 16ST SEAL D414TN DPA BIO 8NL"
896928,"vegetables","cucumber","cucumber straight","NL","I","12","kk","stuks",3800,8,"VVKKBIO+ 12ST SEAL D414TN PP BIO 8NL"
896929,"vegetables","cucumber","cucumber straight","ES","I","16","kk","stuks",3800,8,"VVKK 25-30G 16ST SEAL D414TN PP BIO 8ES"
896930,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",3800,8,"VVKK30-35GGECO12ST SEAL D414TN EPBBIOB88"
896931,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",8400,8,"VVR KKBIO+ 12ST SEAL D414TN PP BIO 8ES"
896932,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",3800,8,"VVKK30-35GREMA12ST SEAL D414TN EP BIOB88"
896933,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",8400,8,"R KK 50-60G 12ST FK3811 WP BIO 8ES"
896934,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",8400,8,"VVR KK35-40GGECO12STSEAFKD414TNEPBBIOB88"
896935,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",3800,8,"VVKK35-40GREMA12ST SEAL D414TN EP BIOB88"
896936,"vegetables","cucumber","cucumber straight","NL","I","6","kk","stuks",3800,8,"VVKKBIOT 6ST SEAL PB415 EP BIO SP 8NL"
896937,"vegetables","cucumber","cucumber straight","NL","I","12","kk","stuks",3800,8,"VVKK 50-60G 12ST SEAL FK3811 WP BIO 8NL"
896938,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",8400,8,"VVR KKBIO+ 12ST SEAFK KKZ416 BPR BIO 8ES"
896939,"vegetables","cucumber","cucumber straight","NL","I","12","kk","stuks",3800,8,"VVKKBIO+ 12ST SEAL KKZ416 BPR BIO 8NL"
896940,"vegetables","cucumber","cucumber straight","ES","I","6","kk","stuks",8400,8,"VVR KKBIO+ 6ST SEAFK KKZ416 BPR BIO 8ES"
