"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
225513,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE8SHOND 10KG FK5417 PKB 8BR"
225514,"exotic fruits","melon","yellow hd","CR","I","10","meloe","kilogram",2143,8,"VVMELOE GE6SHOND 10KG FK5417 PKB 8CR"
225515,"exotic fruits","melon","yellow hd","ES","I","9","meloe","kilogram",2143,8,"VVMELOE GE6SHOND 9KG FK513 PKB 8ES"
225516,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE6SHOND 10KG FK5417 PKB 8BR"
225517,"exotic fruits","melon","yellow hd","PA","I","10","meloe","kilogram",2143,8,"VVMELOE GE6SHOND 10KG FK5417 PKB 8PA"
225518,"exotic fruits","melon","yellow hd","CR","I","10","meloe","kilogram",2143,8,"VVMELOE GE7SHOND 10KG FK5417 PKB 8CR"
225519,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE7SHOND 10KG FK5417 PKB 8BR"
225520,"exotic fruits","melon","galia","ES","I","10","meloe","kilogram",2143,8,"VVMELOE10SGALI 10KG KK618 PP 8ES"
225521,"exotic fruits","melon","yellow hd","ES","I","9","meloe","kilogram",2143,8,"VVMELOE GE5SHOND 9KG FK513 PKB 8ES"
225522,"exotic fruits","melon","galia","BR","I","5","meloe","kilogram",2143,8,"VVMELOE4SGALI 5KG FK414 PKB 8BR"
225523,"exotic fruits","melon","galia","ES","I","5","meloe","kilogram",2143,8,"VVMELOE4SGALI 5KG FK414 PKB 8ES"
225524,"exotic fruits","melon","galia","PA","I","6","meloe","kilogram",2143,8,"VVMELOE5SGALI 6KG FK413 PKB 8PA"
225525,"exotic fruits","melon","galia","PA","I","5","meloe","kilogram",2143,8,"VVMELOE5SGALI 5KG FK414 PKB 8PA"
225526,"exotic fruits","melon","galia","ES","I","5","meloe","kilogram",2143,8,"VVMELOE5SGALI 5KG FK414 PKB 8ES"
