"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
823076,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB 30ELS 4X700 S14 PB613 PP OT AS 7NL"
823077,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB 27ELS 4X700 S14 PB613 PP OT AS 7NL"
823079,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,9,"VVARB 35ELS 4X700 S14 PB613 PP TU AS 9NL"
823080,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,7,"VVARB 35ELS 4X700 S14 PB613 PP TU AS 7NL"
823082,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,9,"VVARB 30ELS 4X700 S14 PB613 PP TU AS 9NL"
823084,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,7,"VVARB 30ELS 4X700 S14 PB613 PP TU AS 7NL"
823085,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,7,"VVARB 27ELS 4X700 S14 PB613 PP TU AS 7NL"
823087,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,9,"VVARB 35SON 4X700 S14 PB613 PP OT AS 9NL"
823089,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB 35SON 4X700 S14 PB613 PP OT AS 7NL"
823091,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,9,"VVARB 30SON 4X700 S14 PB613 PP OT AS 9NL"
823093,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB 30SON 4X700 S14 PB613 PP OT AS 7NL"
823095,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB 27SON 4X700 S14 PB613 PP OT AS 7NL"
823097,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,9,"VVARB 35SON 4X700 S14 PB613 PP TU AS 9NL"
823099,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,7,"VVARB 35SON 4X700 S14 PB613 PP TU AS 7NL"
823100,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,9,"VVARB 30SON 4X700 S14 PB613 PP TU AS 9NL"
823101,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,7,"VVARB 30SON 4X700 S14 PB613 PP TU AS 7NL"
823102,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1330,7,"VVARB 27SON 4X700 S14 PB613 PP TU AS 7NL"
823103,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,9,"VVARB 35ELS 4X700 S14 D608GZ CPB OT AS 9"
823104,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB 35ELS 4X700 S14 D608GZ CPB OT AS 7"
823105,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,9,"VVARB 30ELS 4X700 S14 D608GZ CPB OT AS 9"
823106,"soft fruits","strawberry","strawberry","NL","I","4","arb","700 gram",1335,7,"VVARB30ELS 4X700 S14 D608GZ CPB OT AS 7N"
